ORIGSYSREF,ORDERNUMBER,COUNTRY,BOOKINGDATE,ORDERTYPE,KEYCODE,SALESCHANNEL,SOURCE,MEDIUM,CAMPAIGN,DEVICE,TOPLEVELCATEGORY,ORDERS,REVENUE_NET_LCL,REVENUE_NET_USD,REVENUE_NET_USD_CONS_CURR,FTBS,FTB_REVENUE_NET_LCL,FTB_REVENUE_NET_USD,FTB_REVENUE_NET_USD_CONS_CURR,PRODUCT_REVENUE_LCL,PRODUCT_REVENUE_USD_CONS_CURR,PRODUCTS,QUANTITY,DISCOUNT_LCL,DISCOUNT_USD_CONS_CURR,DISCOUNTED_ORDER,ITEMCOST_LCL,ITEMCOST_USD,ITEMCOST_USD_CONS_CURR,GROSS_MARGIN_LCL,GROSS_MARGIN_USD,RN,CHANNEL_L1,BBSTATUS
42714426152,42714426152,US,27/07/20,WEB-EMAIL,5QSA01,WB,,,,,web,1,74.94,74.94,74.94,1,74.94,74.94,74.94,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONIH1ZA-33O99-3V7,50228086,AT,24/11/23,AT_MO PHONE TUNIS,,MO,,,,,,1,182.98,195.7886,206.7674,0,0,0,0,156.982842,177.3906115,0.99980272,99.98905504,0,0,,907.8207746,38.99789189,1025.837475,-724.94,156.7486,1,MO,INITIAL
ONBK2FI-75L06-4C6,55294106,DE,17/10/25,DE_ABC_WEB_MAIL,,MO,,,,,,1,99.49,106.4543,112.4237,1,99.49,106.4543,112.4237,79.89348455,90.27963754,1.00494849,50.24752399,0,0,,20.17938558,20.16605961,22.8027057,79.41,86.3743,1,MO,INITIAL
ONEQ3HG-20M30-4Y7,57029198,IT,29/01/26,IT_TA TUNIS,,TM,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57029198,0,0,0,-0.24,-0.24,1,TM,INITIAL
ONNZ8JL-90M54-1D5,47828523,US,09/03/23,TMT Inbound WB-NPC MB,,WB,,,,,inbound,1,379.45,379.45,379.45,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONEH6VM-42J51-1S4,55154448,SE,09/10/25,SE_MO PHONE,,MO,,,,,,1,2178,200.376,224.334,1,2178,200.376,224.334,1949.99999,200.849999,0.999702,100.000692,0,0,,53.79999768,53.901144,5.541399761,2124.2,146.576,1,MO,INITIAL
ONNZ1ET-48G61-2J3,30233432,GB,26/07/21,WBGB_ABC WEB ORDER,TGBPMC,WB,google,cpc,shopping-smart-uk-en-high-margin-in-house-pens,mobile,web,0,-56.95,-78.3364,-75.7435,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,UPDATE
42588779730,42588779730,US,08/01/21,WB-CATALOG,NPC NA,WB,bing,cpc,brand - np - pure - exact,desktop,web,1,154.69,154.69,154.69,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,INITIAL
42978710313,42978710313,US,06/04/21,WB-CATALOG,NPC NA,WB,facebook,paid_social,(not set),mobile,web,1,134.99,134.99,134.99,1,134.99,134.99,134.99,0,0,0,0,0,0,,0,0,0,0,0,1,Social Media,INITIAL
ONXC5PO-18N31-6T6,50191775,NO,21/11/23,NO_TM INTERNAL,,TM,,,,,,1,2798,254.618,265.81,0,0,0,0,2289.999989,217.5499989,0.998886,50.00026,0,0,,133.4999947,146.1008065,12.6824995,2664.5,108.298,1,TM,INITIAL
ONLH9WL-34I85-5C6,56158116,SK,08/12/25,SK_TM INTERNAL,,TM,,,,,,1,471.99,505.0293,533.3487,0,0,0,0,449.9904659,508.4892264,1.00014681,499.9893908,0,0,,100.1478766,100.1558098,113.1671005,371.84,404.8793,1,TM,INITIAL
ONGY4XO-24Z51-5T2,54835321,DE,10/09/25,DE_ABC_WEB_MAIL,,MO,,,,,,1,236.49,253.0443,267.2337,0,0,0,0,216.9495124,245.152949,1.00200813,150.3113886,0,0,,53.3505406,53.2493216,60.28611088,183.25,199.8043,1,MO,INITIAL
ONNB2DY-70F40-5E1,51870958,BE,04/10/24,BE_WEB INBOUND,,WB,,,,,inbound,1,89.49,95.7543,101.1237,0,0,0,0,69.88264077,78.96738407,1.00550964,50.27530302,0,0,,507.0764827,21.62451243,572.9964255,-414.81,74.0743,1,Web Inbound,INITIAL
ONAR2DT-82F22-5Q2,55275187,DE,16/10/25,DE_ABC_WEB_MAIL,,MO,,,,,,1,196.99,210.7793,222.5987,1,196.99,210.7793,222.5987,176.9910157,199.9998478,0.99992124,99.99488186,0,0,,41.03791614,40.9970734,46.37284524,155.95,169.7393,1,MO,INITIAL
43054728667,43054728667,US,17/05/21,WB-CATALOG,NPC NA,WB,google,cpc,nb - writing - pens - exact,mobile,web,1,139,139,139,1,139,139,139,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - NonBrand,INITIAL
ONZR7YC-47J99-4N2,55093628,DE,05/10/25,DE_ABC_WEB_MAIL,,MO,,,,,,1,109.49,117.1543,123.7237,1,109.49,117.1543,123.7237,89.90233973,101.5896439,1.00446126,50.22481484,0,0,,19.96936869,19.90621782,22.56538662,89.61,97.2743,1,MO,INITIAL
ONAJ4UM-73W23-1B7,49980168,SK,20/10/23,SK_MO EO UPSELL,,MO,,,,,,1,96.49,103.2443,109.0337,1,96.49,103.2443,109.0337,79.90578125,90.29353281,1.00513633,50.25517617,0,0,,543.1984955,23.29512188,613.8142999,-443.95,80.0043,1,MO,INITIAL
ONZM5JE-21Q23-8W9,48863056,US,07/06/23,WEB-EMAIL,1WAA01,WB,email,poc,060723_1wa_lmq,mobile,email,1,463.9,463.9,463.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONWF9KM-35G81-8B6,55050233,FR,02/10/25,FR_TA TUNIS,,TM,,,,,,1,226.1,241.927,255.493,0,0,0,0,161.1712835,182.1235504,1.0004925,100.0442758,17.90792035,20.23594999,55050233,79.79529114,79.73594093,90.16867898,146.34,162.167,1,TM,INITIAL
42879412066,42879412066,US,11/03/21,WB-CATALOG MB,NPC NA,WB,criteo,display,remarketing-ftb,desktop,web,0,-59,-59,-59,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid - Display,UPDATE
41354830303,41354830303,US,01/10/19,WB-CATALOG,NPC NA,WB,bing,organic,(not set),desktop,web,1,538.25,538.25,538.25,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
43086920469,43086920469,US,03/06/21,WEB-EMAIL,NPC NA,WB,,,,,web,1,280.95,280.95,280.95,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
5503255542,5503255542,US,26/04/21,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,-1,-167.99,-167.99,-167.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,UPDATE
ONVE0LQ-18B71-5D0,50307084,DE,15/12/23,DE_WB RECOVERY,,WB,,,,,web,1,37.76,40.4032,42.6688,0,0,0,0,37.52151577,42.39931282,0.99369216,79.49473088,0,0,,344.4308212,15.050192,389.2068279,-308.86,25.5032,1,Web Recovery,INITIAL
ONUZ6DG-13K52-6X4,46211880,US,19/08/22,TMT Outbound WB-NPC,,WB,,,,,inbound,1,203.08,203.08,203.08,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONUU8IX-38L89-7R8,23593337,FR,01/12/19,WBFR_ABC WEB ORDER,TFRLPG,WB,,,,,web,1,34.5,38.0088,38.985,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,No-Match,INITIAL
ONTO6DO-50L74-8W9,52058875,US,29/10/24,PCT - WEB,,MO,,,,,,1,226.34,226.34,226.34,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,MO,INITIAL
ONAM3AE-28N89-9W5,57119042,US,03/02/26,WEB-EMAIL,NPC NA,WB,email,transactional,en-us_txn_orderconfirmed,desktop,web,1,257.62,257.62,257.62,0,0,0,0,147.2827529,147.2827529,0.99853512,249.631719,0,0,,60.66052421,60.66052421,60.66052421,196.87,196.87,1,Email Triggers,INITIAL
ONKP6II-40R02-9G3,50901238,US,01/04/24,PCT - WEB,,MO,,,,,,1,517.9,517.9,517.9,0,0,0,0,444.9140931,444.9140931,1.0000649,499.9034929,0,0,,125.5257639,125.5257639,125.5257639,392.35,392.35,1,MO,INITIAL
ONRE3AR-61F99-6C3,51180669,DE,15/05/24,DE_TA TUNIS,,TM,,,,,,1,190.09,203.3963,214.8017,0,0,0,0,170.1805741,192.3040487,1.00044367,100.0474084,0,0,,768.7739841,33.1145204,868.714602,-578.32,170.3463,1,TM,INITIAL
43854984929,43854984929,US,08/02/22,WB-CATALOG,NPC NA,WB,google,cpc,shopping-smart-in-house-pens-high-margin,tablet,web,1,78.99,78.99,78.99,1,78.99,78.99,78.99,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
ONSP3ZO-49B83-2F2,50654129,US,22/02/24,WB-CATALOG,,WB,google,organic,(organic),desktop,web,1,3252.92,3252.92,3252.92,1,3252.92,3252.92,3252.92,2657.9784,2657.9784,3.88073356,256.0958858,0,0,,1067.397522,1067.397522,1067.397522,2427.66,2427.66,1,Organic Search,INITIAL
ONFO2YX-17B94-4F7,50226309,NL,24/11/23,NL_ABC_WEB_EMAIL,TNLLNS,WB,,,,,web,1,159.6,170.772,180.348,0,0,0,0,154.413,174.48669,0.9975,149.625,0,0,,743.6163,32.01725331,840.286419,-585.88,138.712,1,Email POC,INITIAL
ONZT2SD-92B61-5N8,53400807,AU,17/06/25,WBAU_ABC WEB ORDER,,WB,google,cpc,pmax-aus-en-combined,desktop,web,1,514.58,334.477,324.1854,0,0,0,0,438.2423091,276.0926548,1.99811414,249.7961715,77.33687765,48.72223292,53400807,54.11583143,54.23734872,34.0929738,460.42,280.317,1,Paid Search - Shopping,INITIAL
ONSE8PT-52K83-6O1,43297939,DE,31/01/22,WBDE_ABC WEB ORDER,TDENOH,WB,google,cpc,brand-de-de-search-np-pure-bmm,mobile,web,1,452.74,504.8101,511.5962,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,INITIAL
ONQF4RQ-16Y89-9R5,58187388,US,02/04/26,WEB-EMAIL,TUSLMQ,WB,email,webpush,20260319_us_ecomadewithpurpose,desktop,web,1,171.92,171.92,171.92,0,0,0,0,79.46302286,79.46302286,0.99954288,49.97680016,0,0,,11.47466114,11.46466572,11.47466114,160.44,160.45,1,Email Web Push,INITIAL
ONVW0KI-76M27-7S8,52958073,US,16/04/25,TM MB,,TM,,,,,,1,1315.94,1315.94,1315.94,0,0,0,0,1174.946425,1174.946425,1.0001144,2499.885954,0,0,,337.7346061,337.7346061,337.7346061,978.19,978.19,1,TM,INITIAL
ONZM2IB-79C04-4H9,48654494,US,23/05/23,TMT Inbound WB-NPC MB,,WB,,,,,inbound,1,162,162,162,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONAY7DY-10G51-1L7,47244583,IT,25/11/22,WBIT_ABC WEB ORDER,,WB,email,poc,20221115_it_2zbb,desktop,web,0,-171,-176.6457,-193.23,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,UPDATE
5320375190,5320375190,US,11/01/19,TMT Inbound WB-NPC,NPC NA,WB,,,,,inbound,1,200.82,200.82,200.82,1,200.82,200.82,200.82,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONPQ7BQ-54K97-2N0,52400736,DE,13/01/25,DE_WEB INBOUND,,WB,,,,,inbound,1,645,690.15,728.85,0,0,0,0,645,728.85,0.99975,500.00013,0,0,,4686.000001,201.5438074,5295.180001,-4041,488.65,1,Web Inbound,INITIAL
ONXE2XK-81O38-9D4,22009807,PT,04/06/19,PT_ABC_WEB_EMAIL,JLPE01,WB,,,,,email,1,164.49,184.3011,185.8737,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONFM4IP-53Q58-1F1,51345162,GB,18/06/24,WBGB_ABC WEB ORDER,,WB,google,organic,(organic),mobile,web,1,98.69,123.3625,131.2577,0,0,0,0,81.4441712,108.3207477,0.99686769,59.81216009,0,0,,223.9166446,9.688470084,297.8091373,-125.93,113.7025,1,Organic Search,INITIAL
42232955148,42232955148,US,27/08/19,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,0,-39,-39,-39,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,UPDATE
5451256978,5451256978,US,08/09/20,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,0,-119,-119,-119,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,UPDATE
ONWA1CO-54X70-1R4,52136999,US,11/11/24,WB-CATALOG,,WB,google,cpc,shopping-drinkware,desktop,web,1,279.03,279.03,279.03,1,279.03,279.03,279.03,208.1023737,208.1023737,1.00004352,72.00787695,0,0,,70.74760726,70.74760726,70.74760726,208.29,208.29,1,Paid Search - Shopping,INITIAL
ONJY9YO-27G80-3W5,52049601,US,28/10/24,REDO-NPC TM,,TM,,,,,,1,382.7,382.7,382.7,0,0,0,0,305.5604698,305.5604698,0.9992297,379.7023109,0,0,,133.3154929,133.3154929,133.3154929,249.28,249.28,1,TM,INITIAL
ONCM5SC-91W06-5Q7,52956697,DE,11/04/25,WBDE_ABC WEB ORDER,,WB,mo_returning sampled,mo_returning sampled,mo_returning sampled,desktop,web,1,79.49,85.0543,89.8237,0,0,0,0,59.86905087,67.65202749,1.00618442,50.31009539,0,0,,217.7824763,9.305940659,246.0941982,-136.95,75.7543,1,MO_Returning Sampled,INITIAL
ONPQ2SL-61E22-0W6,55177305,CH,10/10/25,CH_ABC_WEB_MAIL,,MO,,,,,,1,445,487.72,534,1,445,487.72,534,417.9999988,501.5999986,0.999915,199.99991,0,0,,107.5999988,107.5382607,129.1199985,337.4,380.12,1,MO,INITIAL
42390765687,42390765687,US,18/10/19,WB-CATALOG,NPC NA,WB,google,organic,(not set),desktop,web,1,195.94,195.94,195.94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
ONAQ3HI-35O91-9O1,50165702,DE,22/11/23,WBDE_ABC WEB ORDER,,WB,google,cpc,shopping-de-de-writing,mobile,web,-1,-158.79,-169.9053,-179.4327,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - Shopping,UPDATE
ONJJ2LO-63B99-4C2,51053533,GB,19/04/24,GB_KAM TUNIS,,TM,,,,,,-1,-1.99,-2.4875,-2.6467,0,0,0,0,-1.94025,-2.5805325,-0.00199,-2.985,0,0,,-13.7056275,-0.589239,-18.22848458,-6889.24,-298.5875,1,TM,UPDATE
43046559770,43046559770,US,02/06/21,WB-CATALOG,NPC NA,WB,(direct),(none),(not set),desktop,web,1,1389.45,1389.45,1389.45,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Direct,INITIAL
ONQS0TQ-87J04-5O3,47264426,BE,17/11/22,WBBE_ABC WEB ORDER,,WB,google,cpc,brand-be-fr-search-np,desktop,web,1,234.99,244.257,265.5387,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,INITIAL
ONDR1AX-69Z51-7R0,51224535,IT,22/05/24,IT_TM TUNIS,,TM,,,,,,1,253.99,271.7693,287.0087,0,0,0,0,233.9907868,264.409589,0.99995863,99.99611699,0,0,,693.8926793,29.81469021,784.0987276,-439.93,241.9293,1,TM,INITIAL
ONEF6YU-81D01-7W2,52646631,US,26/02/25,TM,,TM,,,,,,1,618.4,618.4,618.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,TM,INITIAL
5298106419,5298106419,CA,25/10/18,TMT Inbound PPC-WB,4QYA01,WB,,,,,inbound,1,338.45,260.4832,243.684,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONRM9ZT-87M33-7I9,45880597,FR,19/07/22,WBFR_ABC WEB ORDER,,WB,google,organic,(not set),desktop,web,1,1094.98,1112.7936,1237.3274,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
ONPS6CD-00S88-1Y0,50043206,DE,07/11/23,DE_TM INTERNAL,,TM,,,,,,1,483.19,517.0133,546.0047,0,0,0,0,448.3763103,506.6652306,1.0002033,150.0590032,0,0,,3340.223441,143.5836928,3774.452489,-2855.72,373.4333,1,TM,INITIAL
42675490204,42675490204,US,08/10/20,WB-CATALOG,NPC NA,WB,email,webpush,100820_5tp_25off150,desktop,email,1,103.99,103.99,103.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email Web Push,INITIAL
ONST0DY-12L16-1N5,56351997,US,17/12/25,WB-CATALOG,,WB,bing,cpc,brand-us-t1-pure,desktop,web,1,1855.62,1855.62,1855.62,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - Brand,INITIAL
ONFO3BE-38Y17-5T9,54710092,US,29/08/25,TMT TUNIS,,TM,,,,,,1,439.24,439.24,439.24,0,0,0,0,322.1760349,322.1760349,1.00058872,200.1093984,36.01968109,36.01968109,54710092,149.001413,149.001413,149.001413,290.32,290.32,1,TM,INITIAL
ONWP1AA-89L90-4Z3,52523369,HU,31/01/25,HU_MO MAIL,,MO,,,,,,1,60800,164.16,164.16,0,0,0,0,54900.00022,148.2300006,0.9728,100.016,0,0,,1027.949856,44.24312275,2.775464611,59772.05,119.96,1,MO,INITIAL
ONRJ2OY-13S82-2U9,58948109,CA,14/05/26,WB-CATALOG-PPC,,WB,bing,cpc,brand-ca-t1-pure,desktop,web,1,923.95,676.3314,665.244,0,0,0,0,799.9567138,575.968834,0.9997139,249.9866839,0,0,,313.4830318,313.6536916,225.7077829,610.45,362.8314,1,Paid Search - Brand,INITIAL
ONTI3VL-63R27-7I7,58459401,US,17/04/26,WEB-EMAIL,NPC NA,WB,email,poc,20260417_us_1af_agp,mobile,web,1,173.35,173.35,173.35,0,0,0,0,138.5797985,138.5797985,1.001963,130.2629908,0,0,,34.73012125,34.73012125,34.73012125,138.69,138.69,1,Email POC,INITIAL
ONZU1MD-54N05-0Q2,55927604,US,22/11/25,WEB-EMAIL,TUSAKB,WB,email,welcome,welcome_t2_sub,mobile,web,1,261.2,261.2,261.2,0,0,0,0,175.1340985,175.1340985,1.0006572,500.3831908,0,0,,63.14835194,63.14835194,63.14835194,198.1,198.1,1,Email Triggers,INITIAL
ONCR2AG-27B24-4N3,48552162,US,16/05/23,WEB-EMAIL,2DPA01,WB,email,poc,051523_sbw_day1_mov,mobile,email,1,396.2,396.2,396.2,1,396.2,396.2,396.2,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONRR3LX-45Q28-2I5,54535812,DE,20/08/25,DE_ABC_WEB_MAIL,,MO,,,,,,1,169.49,181.3543,191.5237,0,0,0,0,139.904468,158.0920488,1.00287233,50.14497242,0,0,,62.48063258,62.42195057,70.60311482,107.19,119.0543,1,MO,INITIAL
ONJT4JD-74I52-3E3,52834704,DE,24/03/25,DE_MO PHONE TUNIS,,MO,,,,,,1,1769.99,1893.8893,2000.0887,1,1769.99,1893.8893,2000.0887,1739.990174,1966.188897,1.00004435,999.9947903,0,0,,6696.26217,287.9831593,7566.776252,-4926.31,1605.8893,1,MO,INITIAL
ONSS3SI-20B76-1U8,50277263,FR,01/12/23,FR_WEB INBOUND,,WB,,,,,inbound,1,239.5,256.265,270.635,0,0,0,0,239.0010425,270.071178,0.9979965,49.8957535,0,0,,1255.528855,54.15600323,1418.747606,-1018.65,202.165,1,Web Inbound,INITIAL
ONJH5FL-37S60-0P8,51881424,FR,06/10/24,WBFR_ABC WEB ORDER,,WB,google,cpc,brand-fr-fr-search-np,desktop,web,1,123.19,131.8133,139.2047,1,123.19,131.8133,139.2047,103.3594146,116.7961385,1.0015347,100.1544555,25.83985366,29.19903464,51881424,492.3794131,21.11010035,556.3887368,-368.43,110.6733,1,Paid Search - Brand,INITIAL
41800251229,41800251229,US,08/12/18,WB-CATALOG,NPC NA,WB,google,cpc,brand - np - pure - exact,desktop,web,1,128.95,128.95,128.95,1,128.95,128.95,128.95,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,INITIAL
ONWK7WK-15E24-2O2,52114045,US,06/11/24,WB-CATALOG,,WB,(direct),(none),(not set),desktop,web,1,376.252,376.252,376.252,0,0,0,0,212.5423543,212.5423543,2.001284388,260.1741192,50.03351064,50.03351064,52114045,64.19299335,64.18298881,64.19299335,312.102,312.112,1,Direct,INITIAL
5589698824,5589698824,US,13/05/22,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,1,1264.76,1264.76,1264.76,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONOK1XW-32S70-3N2,51134008,US,30/04/24,TMT Inbound MO-NPC MB,,MO,,,,,,1,1225.95,1225.95,1225.95,1,1225.95,1225.95,1225.95,1089.95555,1089.95555,1.0003752,999.959603,0,0,,500.5795853,500.5795853,500.5795853,725.35,725.35,1,MO,INITIAL
43655037439,43655037439,US,11/11/21,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,1,320.35,320.35,320.35,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
12362521,49580322,IT,28/08/23,IT_TM TUNIS,,TM,,,,,,1,854.99,914.8393,966.1387,0,0,0,0,834.2880587,942.7455064,1.03539289,103.5093644,0,0,,459.1275609,459.0340761,518.8141438,411.43,471.2793,1,TM,INITIAL
ONSH0DE-91Y92-9O7,47253662,AU,16/11/22,WBAU_ABC WEB ORDER,,WB,(direct),(none),(not set),desktop,web,1,111.97,75.9009,70.5411,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Direct,INITIAL
ONDV0XP-36Q92-1I2,50337135,DE,13/12/23,DE_TA TUNIS,,TM,,,,,,1,534.99,572.4393,604.5387,0,0,0,0,509.9904683,576.2892292,0.99989631,249.9954771,0,0,,2042.571822,87.90745969,2308.106159,-1507.62,484.5993,1,TM,INITIAL
ONDP3LZ-19Y99-3C5,52593525,DE,14/02/25,WBDE_ABC WEB ORDER,,WB,google,cpc,brand-de-de-search-np,desktop,web,-1,-268.94,-287.7658,-303.9022,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - Brand,UPDATE
42775590923,42775590923,US,22/09/20,WB-CATALOG,NPC NA,WB,google,cpc,**shopping - non-pens in-house*,mobile,web,1,77.99,77.99,77.99,1,77.99,77.99,77.99,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
ONCN0XX-00U29-9E5,49321940,DE,29/07/23,DE_ABC_WEB_MAIL,,MO,,,,,,1,104.49,111.8043,118.0737,0,0,0,0,79.87456763,90.25826142,1.00467135,50.23555281,0,0,,912.7402445,38.99174963,1031.396476,-803.97,72.7443,1,MO,INITIAL
ONVT0CD-12T75-9B1,47041425,US,20/10/22,WB-CATALOG,,WB,google,cpc,brand - np - pure - exact,desktop,web,1,389.35,389.35,389.35,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,INITIAL
ONTG2RD-99W16-5P0,26602040,IT,20/01/21,IT_ABC_WEB_EMAIL,BPFB01,WB,,,,,web,1,80.99,98.2096,91.5187,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONZB0ZO-44W47-1L0,49529394,FR,22/08/23,FR_MO PHONE TUNIS,,MO,,,,,,1,169.49,181.3543,191.5237,0,0,0,0,139.904468,158.0920488,1.00287233,50.14497242,0,0,,1257.665945,54.02554571,1421.162518,-1084.54,127.4343,1,MO,INITIAL
ONXM9YN-16A63-8A7,51208536,US,17/05/24,TMT Inbound WB-NPC MB,,WB,,,,,inbound,1,874.95,874.95,874.95,0,0,0,0,839.952,839.952,1.00006785,999.9427322,0,0,,217.68756,217.68756,217.68756,657.25,657.25,1,Web Inbound,INITIAL
ONHS7WX-46S05-1Z4,54978282,SE,26/09/25,SE_MO EO UPSELL,,MO,,,,,,1,873,80.316,89.919,0,0,0,0,645.0000043,66.43500044,0.999585,50.000202,0,0,,10.85000193,10.8928575,1.117550199,862.15,69.466,1,MO,INITIAL
ONCU7ZP-77T67-5C8,51177708,US,06/05/24,WB-CATALOG,,WB,google,organic,(organic),desktop,web,1,264.4,264.4,264.4,0,0,0,0,208.8159098,208.8159098,1.0015472,150.2273208,0,0,,35.38353094,35.38353094,35.38353094,229.07,229.07,1,Organic Search,INITIAL
41777353329,41777353329,US,11/12/19,WB-CATALOG,NPC NA,WB,(direct),(none),(not set),desktop,web,1,115.94,115.94,115.94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Direct,INITIAL
42746940759,42746940759,US,25/09/20,WB-CATALOG,NPC NA,WB,google,cpc,brand - np - pure - exact,mobile,web,-1,-527.65,-527.65,-527.65,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Brand,UPDATE
ONOJ7OF-09G61-2B0,55646502,CH,06/11/25,CH_ABC_WEB_MAIL,,MO,,,,,,1,131.5,144.124,157.8,1,131.5,144.124,157.8,109.0852267,130.902272,0.996244,49.810622,0,0,,25.76204534,25.88226785,30.9144544,105.64,118.264,1,MO,INITIAL
ONTT5PC-50T40-3B2,49633970,DE,31/08/23,DE_ABC_WEB_MAIL,,MO,,,,,,1,97.49,104.3143,110.1637,0,0,0,0,74.87634049,84.61026475,1.00502441,50.25258536,0,0,,464.1328039,19.92001937,524.4700684,-364.31,84.4543,1,MO,INITIAL
ONLL3DN-27X69-0X0,51773982,US,20/09/24,WB-CATALOG,,WB,,,,,web,1,1555.925,1555.925,1555.925,0,0,0,0,1260.069269,1260.069269,2.9998234,749.9636296,222.3592817,222.3592817,51773982,525.3346751,525.3246705,525.3346751,1030.565,1030.575,1,No-Match,INITIAL
ONVT2RK-77L94-3C7,55858310,US,19/11/25,WB-CATALOG,,WB,google,organic,(organic),desktop,web,1,677.05,677.05,677.05,0,0,0,0,567.0418801,567.0418801,1.00000285,950.0704125,0,0,,370.5273661,370.5273661,370.5273661,306.55,306.55,1,Organic Search,INITIAL
ONVH6XN-05B37-5U1,51459399,US,24/07/24,TMT Inbound MO-NPC MB,,MO,,,,,,1,104,104,104,0,0,0,0,104,104,0.99996,99.999952,0,0,,21.91000032,21.91000032,21.91000032,82.09,82.09,1,MO,INITIAL
ONSL4JX-13Y26-6Q2,53396399,US,16/06/25,TMT Inbound MO-NPC MB,,MO,,,,,,1,484.84,484.84,484.84,0,0,0,0,365.87926,365.87926,0.99974008,299.9011759,0,0,,70.83662216,70.83662216,70.83662216,413.98,413.98,1,MO,INITIAL
ONHC3UF-39Z68-9T5,49017607,GB,23/06/23,WBGB_ABC WEB ORDER,,WB,google,organic,(not set),desktop,web,1,391.2,498.7142,520.296,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
ONSL3CS-51I11-6V2,50086059,AT,06/11/23,AT_ABC_WEB_MAIL,,MO,,,,,,1,328.98,352.0086,371.7474,1,328.98,352.0086,371.7474,297.9818858,336.719531,1.0000992,199.9879289,0,0,,1854.087282,79.72194674,2095.118629,-1525.22,272.2886,1,MO,INITIAL
ONKZ4PN-94M00-7I8,51617313,FR,26/08/24,FR_ABC_WEB_MAIL,,MO,,,,,,1,592.99,634.4993,670.0787,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,MO,INITIAL
